payment_id,invoice_id,payout_id,invoice_amount,gross_amount,match_reason
INV-2025001,INV-2025001,PAYOUT-PAY-00001,29165.77,29165.77,exact_reference_and_amount
INV-2025002,INV-2025002,PAYOUT-CAS-00002,56967.87,56967.87,exact_reference_and_amount
INV-2025003,INV-2025003,PAYOUT-RAZ-00003,185555.93,185555.93,exact_reference_and_amount
INV-2025004,INV-2025004,PAYOUT-RAZ-00004,148237.39,148237.39,exact_reference_and_amount
INV-2025007,INV-2025007,PAYOUT-PAY-00005,179430.87,179430.87,exact_reference_and_amount
INV-2025008,INV-2025008,PAYOUT-STR-00006,56279.49,56279.49,exact_reference_and_amount
INV-2025009,INV-2025009,PAYOUT-RAZ-00007,202643.47,202643.47,exact_reference_and_amount
INV-2025010,INV-2025010,PAYOUT-RAZ-00008,174987.64,174987.64,exact_reference_and_amount
INV-2025013,INV-2025013,PAYOUT-RAZ-00011,212102.35,212102.35,exact_reference_and_amount
INV-2025018,INV-2025018,PAYOUT-RAZ-00013,49283.71,49283.71,exact_reference_and_amount
INV-2025020,INV-2025020,PAYOUT-PAY-00016,214046.45,214046.45,exact_reference_and_amount
INV-2025021,INV-2025021,PAYOUT-PAY-00017,70576.44,70576.44,exact_reference_and_amount
INV-2025022,INV-2025022,PAYOUT-RAZ-00018,41919.54,41919.54,exact_reference_and_amount
INV-2025023,INV-2025023,PAYOUT-CAS-00019,168038.53,168038.53,exact_reference_and_amount
INV-2025024,INV-2025024,PAYOUT-CAS-00020,19243.52,19243.52,exact_reference_and_amount
INV-2025025,INV-2025025,PAYOUT-RAZ-00021,134233.76,134233.76,exact_reference_and_amount
INV-2025026,INV-2025026,PAYOUT-CAS-00022,116371.66,116371.66,exact_reference_and_amount
INV-2025027,INV-2025027,PAYOUT-CAS-00023,172508.25,172508.25,exact_reference_and_amount
INV-2025031,INV-2025031,PAYOUT-STR-00027,219277.36,219277.36,exact_reference_and_amount
INV-2025034,INV-2025034,PAYOUT-CAS-00030,62786.94,62786.94,exact_reference_and_amount
INV-2025035,INV-2025035,PAYOUT-CAS-00031,66791.29,66791.29,exact_reference_and_amount
INV-2025036,INV-2025036,PAYOUT-PAY-00032,224608.99,224608.99,exact_reference_and_amount
INV-2025038,INV-2025038,PAYOUT-PAY-00033,124138.68,124138.68,exact_reference_and_amount
INV-2025044,INV-2025044,PAYOUT-STR-00036,221369.93,221369.93,exact_reference_and_amount
INV-2025045,INV-2025045,PAYOUT-STR-00037,86033.61,86033.61,exact_reference_and_amount
INV-2025046,INV-2025046,PAYOUT-STR-00038,40802.2,40802.2,exact_reference_and_amount
INV-2025048,INV-2025048,PAYOUT-CAS-00039,190847.61,190847.61,exact_reference_and_amount
INV-2025050,INV-2025050,PAYOUT-PAY-00042,127654.23,127654.23,exact_reference_and_amount
INV-2025052,INV-2025052,PAYOUT-RAZ-00043,238444.69,238444.69,exact_reference_and_amount
INV-2025053,INV-2025053,PAYOUT-CAS-00044,150337.73,150337.73,exact_reference_and_amount
INV-2025054,INV-2025054,PAYOUT-STR-00045,29299.13,29299.13,exact_reference_and_amount
INV-2025055,INV-2025055,PAYOUT-RAZ-00046,61003.9,61003.9,exact_reference_and_amount
INV-2025056,INV-2025056,PAYOUT-CAS-00047,236816.94,236816.94,exact_reference_and_amount
INV-2025057,INV-2025057,PAYOUT-PAY-00048,122268.63,122268.63,exact_reference_and_amount
INV-2025058,INV-2025058,PAYOUT-CAS-00049,191809.86,191809.86,exact_reference_and_amount
INV-2025059,INV-2025059,PAYOUT-PAY-00050,119607.67,119607.67,exact_reference_and_amount
