payment_id,invoice_id,payout_id,invoice_amount,gross_amount,exception_reason
INV-2025005,INV-2025005,,24783.27,,no_matching_payout_reference
INV-2025006,INV-2025006,,151101.65,,no_matching_payout_reference
INV-2025012,INV-2025012,,24547.34,,no_matching_payout_reference
INV-2025014,INV-2025014,,202071.38,,no_matching_payout_reference
INV-2025015,INV-2025015,,32519.3,,no_matching_payout_reference
INV-2025016,INV-2025016,,138682.1,,no_matching_payout_reference
INV-2025017,INV-2025017,,221534.76,,no_matching_payout_reference
INV-2025028,INV-2025028,,82084.26,,no_matching_payout_reference
INV-2025029,INV-2025029,,205717.94,,no_matching_payout_reference
INV-2025033,INV-2025033,,115524.69,,no_matching_payout_reference
INV-2025037,INV-2025037,,56001.21,,no_matching_payout_reference
INV-2025039,INV-2025039,,39481.07,,no_matching_payout_reference
INV-2025040,INV-2025040,,106406.75,,no_matching_payout_reference
INV-2025041,INV-2025041,,96332.39,,no_matching_payout_reference
INV-2025042,INV-2025042,,63976.41,,no_matching_payout_reference
INV-2025043,INV-2025043,,170550.43,,no_matching_payout_reference
INV-2025047,INV-2025047,,219149.46,,no_matching_payout_reference
INV-2025051,INV-2025051,,94417.59,,no_matching_payout_reference
INV-2025060,INV-2025060,,67366.57,,no_matching_payout_reference
INV-20,,PAYOUT-STR-00034,,106406.75,no_matching_invoice_reference
INV-20,,PAYOUT-CAS-00035,,63976.41,no_matching_invoice_reference
,,PAYOUT-PAY-00012,,138682.1,no_matching_invoice_reference
,,PAYOUT-CAS-00024,,82084.26,no_matching_invoice_reference
,,PAYOUT-RAZ-00051,,67366.57,no_matching_invoice_reference
INV-2025011,INV-2025011,PAYOUT-RAZ-00009,40136.66,21680.93,reference_matched_but_amount_mismatch
INV-2025011,INV-2025011,PAYOUT-PAY-00010,40136.66,18455.73,reference_matched_but_amount_mismatch
INV-2025019,INV-2025019,PAYOUT-STR-00014,165823.93,63937.52,reference_matched_but_amount_mismatch
INV-2025019,INV-2025019,PAYOUT-RAZ-00015,165823.93,101886.41,reference_matched_but_amount_mismatch
INV-2025030,INV-2025030,PAYOUT-CAS-00025,68033.61,23582.79,reference_matched_but_amount_mismatch
INV-2025030,INV-2025030,PAYOUT-CAS-00026,68033.61,44450.82,reference_matched_but_amount_mismatch
INV-2025032,INV-2025032,PAYOUT-CAS-00028,164376.51,80730.9,reference_matched_but_amount_mismatch
INV-2025032,INV-2025032,PAYOUT-STR-00029,164376.51,83645.61,reference_matched_but_amount_mismatch
INV-2025049,INV-2025049,PAYOUT-RAZ-00040,217823.86,85845.08,reference_matched_but_amount_mismatch
INV-2025049,INV-2025049,PAYOUT-RAZ-00041,217823.86,131978.78,reference_matched_but_amount_mismatch
