txn_id,txn_date,description,txn_type,amount,balance
TXN000015,2025-01-09,RTGS/UTR740165486786/razorpaysettlement/31632,CR,99291.19,599291.19
TXN000021,2025-01-11,NEFT-HDFC0000123-RAZORPAY SETTLEMENT-UTR389935567052,CR,132082.58,731373.77
TXN000014,2025-01-13,imps/p2a/38760/stripe payouts pvt ltd/utr735906343638,CR,62839.89,794213.66
TXN000013,2025-01-14,  RTGS-UTR962972824015-Razorpay   ,CR,47864.62,842078.28
TXN000003,2025-01-17,NEFT/KKBK0000456/RAZORPAY/UTR351487177987  TXN CHARGES INCL,CR,181894.32,1023972.6
TXN000052,2025-01-23,NEFT-KKBK0000456-OFFICE RENT-AUG,CR,79204.49,1103177.09
TXN000045,2025-01-28,imps/p2a/82529/stripe payouts pvt ltd/utr725413874351,CR,28581.82,1131758.91
TXN000008,2025-01-29,IMPS/P2A/40735/Razorpay Payouts Pvt Ltd/UTR542641960943,CR,170713.2,1302472.11
TXN000043,2025-01-29,NEFT-KKBK0000456-RAZORPAY SETTLEMENT-UTR441480490974,CR,232465.32,1534937.43
TXN000016,2025-02-02,neft/kkbk0000456/payu/utr173812556182  txn charges incl,CR,210665.31,1745602.74
TXN000056,2025-02-05,UPI/DR/39466/RichardBrown/paytm,DR,9359.15,1736243.59
TXN000064,2025-02-06,GST-AUTODEBIT-CHALLAN,CR,3128.43,1739372.02
TXN000002,2025-02-07,NEFT-HDFC0000123-CASHFREE SETTLEMENT-UTR230788137103,CR,55763.95,1795135.97
TXN000054,2025-02-10,BANK CHARGES-QUARTERLY AMC FEE,DR,413.52,1794722.45
TXN000058,2025-02-10,  upi/dr/74722/razorpay/settlement  ,CR,24466.48,1819188.93
TXN000035,2025-02-12,NEFT-SBIN0005678-CASHFREE SETTLEMENT-UTR142400633488,CR,62874.18,1882063.11
TXN000006,2025-02-13,  RTGS-UTR550144771997-Stripe   ,CR,55243.84,1937306.95
TXN000059,2025-02-21,NEFT-SBIN0005678-OFFICE RENT-AUG,DR,47923.33,1889383.62
TXN000023,2025-03-01,IMPS/P2A/43586/CASHFREE PAYOUTS PVT LTD/UTR830178040304,CR,168443.35,2057826.97
