payout_id,gateway,utr_number,linked_invoice_id,gross_amount,fee_amount,net_amount,payout_date,status
PAYOUT-PAY-00001,PayU,UTR442364508902,INV-2025001,29165.77,816.78,28348.99,2025-06-17,Settled
PAYOUT-CAS-00002,Cashfree,UTR230788137103,INV-2025002,56967.87,1203.92,55763.95,2025-02-07,Settled
PAYOUT-RAZ-00003,Razorpay,UTR351487177987,INV-2025003,185555.93,3661.61,181894.32,2025-01-17,Settled
PAYOUT-RAZ-00004,Razorpay,UTR173997741524,INV-2025004,148237.39,2370.89,145866.5,2025-07-10,Settled
PAYOUT-PAY-00005,PayU,UTR693625626938,INV-2025007,179430.87,3391.01,176039.86,2025-03-07,Settled
PAYOUT-STR-00006,Stripe,UTR550144771997,INV-2025008,56279.49,1035.65,55243.84,2025-02-13,Settled
PAYOUT-RAZ-00007,Razorpay,UTR552790822417,INV-2025009,202643.47,4909.19,197734.28,2025-07-14,Settled
PAYOUT-RAZ-00008,Razorpay,UTR542641960943,INV-2025010,174987.64,4274.44,170713.2,2025-01-29,Settled
PAYOUT-RAZ-00009,Razorpay,UTR591929601508,INV-2025011,21680.93,400.69,21280.24,2025-06-27,Settled
PAYOUT-PAY-00010,PayU,UTR372569912085,INV-2025011,18455.73,385.84,18069.89,2025-06-28,Settled
PAYOUT-RAZ-00011,Razorpay,UTR116475613040,INV-2025013,212102.35,3331.75,208770.6,2025-08-26,Settled
PAYOUT-PAY-00012,PayU,UTR541800309361,,138682.1,2869.3,135812.8,2025-06-09,Settled
PAYOUT-RAZ-00013,Razorpay,UTR962972824015,INV-2025018,49283.71,1419.09,47864.62,2025-01-14,Settled
PAYOUT-STR-00014,Stripe,UTR735906343638,INV-2025019,63937.52,1097.63,62839.89,2025-01-13,Settled
PAYOUT-RAZ-00015,Razorpay,UTR740165486786,INV-2025019,101886.41,2595.22,99291.19,2025-01-09,Settled
PAYOUT-PAY-00016,PayU,UTR173812556182,INV-2025020,214046.45,3381.14,210665.31,2025-02-02,Settled
PAYOUT-PAY-00017,PayU,UTR736712646676,INV-2025021,70576.44,1457.61,69118.83,2025-03-07,Settled
PAYOUT-RAZ-00018,Razorpay,UTR673658281523,INV-2025022,41919.54,874.83,41044.71,2025-03-11,Settled
PAYOUT-CAS-00019,Cashfree,UTR388787957213,INV-2025023,168038.53,3001.11,165037.42,2025-05-16,Settled
PAYOUT-CAS-00020,Cashfree,UTR602551183219,INV-2025024,19243.52,411.83,18831.69,2025-06-06,Settled
PAYOUT-RAZ-00021,Razorpay,UTR389935567052,INV-2025025,134233.76,2151.18,132082.58,2025-01-11,Settled
PAYOUT-CAS-00022,Cashfree,UTR410824752082,INV-2025026,116371.66,3180.68,113190.98,2025-05-28,Settled
PAYOUT-CAS-00023,Cashfree,UTR830178040304,INV-2025027,172508.25,4064.9,168443.35,2025-03-01,Settled
PAYOUT-CAS-00024,Cashfree,UTR225689924079,,82084.26,2302.02,79782.24,2025-07-05,Settled
