invoice_id,customer_name,po_number,invoice_amount,invoice_date,due_date,status
INV-2025001,"Rodriguez, Figueroa and Sanchez",PO-46048,29165.77,2025-06-13,2025-07-28,Paid
INV-2025002,Doyle Ltd,PO-23434,56967.87,2025-01-29,2025-02-13,Paid
INV-2025003,"Mcclain, Miller and Henderson",PO-81482,185555.93,2025-01-07,2025-02-21,Paid
INV-2025004,Davis and Sons,PO-14165,148237.39,2025-07-09,2025-07-24,Paid
INV-2025005,"Guzman, Hoffman and Baldwin",PO-40495,24783.27,2025-03-12,2025-03-27,Overdue
INV-2025006,"Gardner, Robinson and Lawrence",PO-83563,151101.65,2025-03-04,2025-04-18,Overdue
INV-2025007,Blake and Sons,PO-81426,179430.87,2025-02-27,2025-03-14,Paid
INV-2025008,"Henderson, Ramirez and Lewis",PO-87236,56279.49,2025-02-05,2025-03-07,Paid
INV-2025009,Garcia-James,PO-10851,202643.47,2025-07-08,2025-08-07,Paid
INV-2025010,Abbott-Munoz,PO-54597,174987.64,2025-01-27,2025-02-11,Paid
INV-2025011,Blair PLC,PO-54118,40136.66,2025-06-23,2025-07-23,Paid
INV-2025012,Dudley Group,PO-22676,24547.34,2025-07-09,2025-07-24,Overdue
INV-2025013,Arnold Ltd,PO-89131,212102.35,2025-08-17,2025-09-16,Paid
INV-2025014,"Mcclure, Ward and Lee",PO-70217,202071.38,2025-05-20,2025-06-19,Overdue
INV-2025015,Williams and Sons,PO-59615,32519.3,2025-01-23,2025-03-09,Overdue
INV-2025016,Galloway-Wyatt,PO-92397,138682.1,2025-06-01,2025-06-16,Paid
INV-2025017,James Group,PO-57400,221534.76,2025-04-19,2025-06-03,Overdue
INV-2025018,"Flowers, Martin and Kelly",PO-19116,49283.71,2025-01-09,2025-02-23,Paid
INV-2025019,"Adams, Zuniga and Wong",PO-47930,165823.93,2025-01-08,2025-01-23,Paid
INV-2025020,"Reid, Ferguson and Sanchez",PO-23238,214046.45,2025-01-24,2025-02-08,Paid
INV-2025021,Gray-Mayo,PO-93320,70576.44,2025-02-25,2025-03-27,Paid
INV-2025022,"Watts, Robinson and Nguyen",PO-56566,41919.54,2025-03-01,2025-03-31,Paid
INV-2025023,Perez Inc,PO-99593,168038.53,2025-05-10,2025-05-25,Paid
